MapFind Routine Version: 0.35 by tap 
Run From Version: 508, On Version: 112 Run from File: 52_508fix.bin, On File: A7842980_112.BIN

Found 0 new maps with 2271/2385 found in HW# 112 
10563 skipped, 44 conflicts, and 15086 agreed 
0 AxisCheckErrors and 14 AxisCheckTargErrors. Conflict at 2344 
0 Duplicate Matches Found 
sVar  Map Name                      befo:S:after  A2Lof    del  Newof Delta   Col Row Err Posib var# MatR Blk D O:N A2lDa:NewDa DUPLICATE 
   1                    K_VERS_UP_M    0: :0          0      0      0       0   0   0   0     1 1905    0 0 O:N     1:      
   2                  K_VERS_NAME_M    1: :1          1      0      1       0   0   0   0     1 1910    0 0 O:N     D:      
   3                 K_VERS_PROGR_M    1: :1          2      1      2       0   0   0   0     1 1940    0 0 O:N  0F1C:      
   4                 K_VERS_DATEN_M    2: :2          4      2      4       0   0   0   0     9 1944    0 0 O:N  0200:      
   5                 cfg_m.baureihe    2: :2          6      2      6       0   0   0   0     1 1762    0 0 O:N    20:      
   6                 cfg_m.motortyp    1: :1          7      1      7       0   0   0   0     1 1763    0 0 O:N     C:      
   7              cfg_m.getriebetyp    1: :1          8      1      8       0   0   0   0     1 1764    0 0 O:N     3:      
   8                 cfg_m.canstand    1: :1          9      1      9       0   0   0   0    12 1772    0 0 O:N    11:      
   9                 cfg_m.variante    1: :1          A      1      A       0   0   0   0    12 1773    0 0 O:N     2:      
  10                       cfg_m.kr    1: :1          B      1      B       0   0   0   0    12 1775    0 0 O:N    40:      
  11                 cfg_m.diagnose    1:1:3          E      3      E       0   0   0   0    12 1774    0 0 O:N     3:      
  12                   cfg_m.status    1: :1          F      1      F       0   0   0   0     6 1770    0 0 O:N    84:      
  13                   cfg_m.sg_typ    1: :1         10      1     10       0   0   0   0     6 1769    0 0 O:N     1:      
  14             cfg_m.betriebsmode    1: :1         11      1     11       0   0   0   0    12 1771  100   0 0 O:N     0:00    
  15                     cfg_m.egas    1: :1         12      1     12       0   0   0   0     6 1768  100   0 0 O:N     0:00    
  16                K_RESET_CONTROL    1:1:12        1E     14     20       2   0   0   0     1 2373  100   0 0 O:N     1:1     
  17           K_PCNTRL_MAX_RESET_M    1: :1         1F      1     21       2   0   0   0     1 2372  100   0 0 O:N     2:2     
  18             K_PCNTRL_TIMEOUT_M    1: :1         20      1     22       2   0   0   0     1 2368  100   0 0 O:N    1E:1E    
  19                K_PCNTRL_ZEIT_M    1: :1         21      1     23       2   0   0   0     1 2367  100   0 0 O:N    14:14    
  20              K_PCNTRL_BITMSK_M    1: :1         22      1     24       2   0   0   0     1 2369  100   0 0 O:N  FFFF:FFFF  
  21                 K_FDYN_CONTROL    2: :2         24      2     26       2   0   0   0     1 2366  100   0 0 O:N     3:3     
  22                   K_ED_UBMIN_M    1: :1         25      1     27       2   0   0   0     1 2351  100   0 0 O:N    5A:5A    
  23                K_DEBUG_CONTROL    1: :1         26      1     28       2   0   0   0     2 2348  100   0 0 O:N     0:00    
  24                  K_OEK_CONTROL    1: :1         27      1     29       2   0   0   0     1 2350  100   0 0 O:N     0:00    
  25              K_SKRAFTS_CONTROL    1: :1         28      1     2A       2   0   0   0     4 2349  100   0 0 O:N     1:1     
  26                        K_DA_M1    1:1:2         2A      2     2C       2   0   0   0 32423 2345  100   0 0 O:N    FF:FF    
  27                        K_DA_M2    1: :1         2B      1     2D       2   0   0   0 32423 2346  100   0 0 O:N    FF:FF    
  28                        K_DA_M3    1: :1         2C      1     2E       2   0   0   0 32423 2347  100   0 0 O:N    FF:FF    
  29                        K_DA_M4    1: :1         2D      1     2F       2   0   0   0    10 2355  100   0 0 O:N    FF:FF    
  30                        K_DA_M5    1: :1         2E      1     30       2   0   0   0     2 2356  100   0 0 O:N    FF:FF    
  31                        K_DA_M6    1: :1         2F      1     31       2   0   0   0     1 2358  100   0 0 O:N    FF:FF    
  32                   K_DA_SEITE_M    1: :1         30      1     32       2   0   0   0     1 2357  100   0 0 O:N     0:00    
  33                   K_DA_CONTROL    1: :1         31      1     33       2   0   0   0     1 2353  100   0 0 O:N     0:00    
  34                   K_MIL_MODE_M    1: :1         32      1     34       2   0   0   0     1 2352  100   0 0 O:N     2:2     
  35            K_MIL_MIN_ERR_CNT_M    1: :1         33      1     35       2   0   0   0     1 2354  100   0 0 O:N     1:1     
  36                  K_NW_DETECT_M    1: :1         34      1     36       2   0   0   0     2 2004  100   0 0 O:N     8:8     
  37                   K_NW_MFMIN_M    1: :1         35      1     37       2   0   0   0     2 2006  100   0 0 O:N     1:1     
  38                   K_NW_MFMAX_M    1: :1         36      1     38       2   0   0   0     2 2005  100   0 0 O:N    23:23    
  39                 K_NW_MFERROR_M    1: :1         37      1     39       2   0   0   0     1 2001  100   0 0 O:N     4:4     
  40                K_NW_MAX_FAIL_M    1: :1         38      1     3A       2   0   0   0     1 2002  100   0 0 O:N     4:4     
  41                     K_TPU_N_TZ    1:1:2         3A      2     3C       2   0   0   0     1 2003  100   0 0 O:N  1914:1914  
  42                    K_CAN_UBMIN    2: :2         3C      2     3E       2   0   0   0     1 1719  100   0 0 O:N    5A:5A    
  43                K_CAN_ED_TSPERR    1: :1         3D      1     3F       2   0   0   0    12 1727  100   0 0 O:N     A:A     
  44                    K_ASC_ALIVE    1: :1         3E      1     40       2   0   0   0     1 1728  100   0 0 O:N     0:00    
  45               K_ASC_MD_ABBRUCH    1: :1         3F      1     41       2   0   0   0     1 1730  100   0 0 O:N     1:1     
  46                    K_DSC_STAND    1: :1         40      1     42       2   0   0   0     1 1729  100   0 0 O:N     2:2     
  47                      K_DSC_TYP    1: :1         41      1     43       2   0   0   0     1 1725  100   0 0 O:N     1:1     
  48                    K_ASC_A_TAU    1: :1         42      1     44       2   0   0   0     1 1724  100   0 0 O:N    40:40    
  49                 K_EGS_T_MAX_TZ    1:1:2         44      2     46       2   0   0   0     4 1726  100   0 0 O:N    0A:0A    
  50                 K_EGS_T_MAX_DK    2: :2         46      2     48       2   0   0   0     2 1731  100   0 0 O:N    0A:0A    
  51                  K_DDS_CONTROL    2: :2         48      2     4A       2   0   0   0     1 1761  100   0 0 O:N     0:00    
  52                  K_DDS_PERIODE    1: :1         49      1     4B       2   0   0   0     1 1765  100   0 0 O:N    64:64    
  53                 K_DDS_HIGHTIME    1: :1         4A      1     4C       2   0   0   0     1 1767  100   0 0 O:N    32:32    
  54         K_CAN_LAMPEN_PRE_DRIVE    1: :1         4B      1     4D       2   0   0   0     1 1766  100   0 0 O:N    19:19    
